Company Name,Website,Reason
Hubs,https://hubs.com,"excluded: not a direct manufacturer -- Broker/network model, Hubs (Protolabs Network) connects buyers to a partner manufacturing network, not a single factory. Supplied-name match scored only 60/100 (extracted site name was ""Protolabs Network""), and original sourcing notes already flagged it as not a straightforward single-factory supplier."
Fictiv,https://fictiv.com,"excluded: not a direct manufacturer -- Broker/network model, Fictiv is an on-demand manufacturing marketplace connecting buyers to a partner factory network, not a single factory itself."
Husky Technologies,https://husky.co,"excluded: not a direct manufacturer -- Wrong category, Husky makes injection-molding machines/equipment (moulds, hot runners, machinery), not injection-molded parts. Equipment OEM, not a parts manufacturer."
JasonMould Industrial Company,https://jasonmould.com,"excluded: not a direct manufacturer -- fetch failed even under Playwright re-validation: could not fetch candidate site: could not load homepage -- tried https://www.jasonmould.com, https://jasonmould.com, http://www.jasonmould.com"
Star Rapid,https://starrapid.com,"excluded: not a direct manufacturer -- fetch failed even under Playwright re-validation: could not fetch candidate site: could not load homepage -- tried https://www.starrapid.com, https://starrapid.com, http://www.starrapid.com"
Taizhou Huangyan Kaixin Plastic Mould,https://kaixinmould.com,"excluded: not a direct manufacturer -- fetch failed even under Playwright re-validation: could not fetch candidate site: could not load homepage -- tried https://www.kaixinmould.com, https://kaixinmould.com, http://www.kaixinmould.com"
Xiamen Xin Shi Wei Precision Mould,https://xswmould.com,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): no company name found in page text
Topworks Plastic Molding,https://topworks.com,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): fetched page text does not mention the searched term 'injection moulding manufacturer'
Longsheng Manufacturing,https://longshengmfg.com,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): no company name found in page text
LK-Mould,https://lk-mould.com,excluded: not a direct manufacturer -- name mismatch on re-validation: extracted name '东莞市隆聚精密模具制造有限公司' does not match the original search result (score=0)
Yamada Electric,https://yamada.co.jp,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): no company name found in page text
Plastiblends,https://plastiblends.com,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): fetched page text does not mention the searched term 'injection moulding manufacturer'
HODA,https://hoda.lt,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): fetched page text does not mention the searched term 'injection moulding manufacturer'
GDI Corporation,https://gdi-corporation.com,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): no company name found in page text
Plastika Skaza,https://skaza.com,excluded: not a direct manufacturer -- rejected on re-validation (no name found / product term not mentioned): fetched page text does not mention the searched term 'injection moulding manufacturer'
